date,time,right_eye_x,right_eye_y,left_eye_x,left_eye_y
2023-12-11,10:53:32,3,-3,0,-1
2023-12-11,10:53:33,3,-1,0,-1
2023-12-11,10:53:33,2,-1,-2,0
2023-12-11,10:53:33,3,-1,-2,-1
2023-12-11,10:53:33,4,-2,-4,0
2023-12-11,10:53:33,3,-1,-1,0
2023-12-11,10:53:33,2,-1,-1,0
2023-12-11,10:53:33,3,-1,-1,0
2023-12-11,10:53:33,1,-1,-2,-1
2023-12-11,10:53:33,-1,-1,-3,-1
2023-12-11,10:53:33,1,-3,-1,-1
2023-12-11,10:53:33,1,-2,-3,-1
2023-12-11,10:53:33,3,-1,-2,0
2023-12-11,10:53:33,1,-3,-2,0
2023-12-11,10:53:34,2,-5,-1,-1
2023-12-11,10:53:34,-2,3,-3,0
2023-12-11,10:53:34,7,0,-3,1
2023-12-11,10:53:34,7,1,-2,2
2023-12-11,10:53:34,4,-2,-4,2
2023-12-11,10:53:34,-1,-2,-3,2
2023-12-11,10:53:34,6,3,-2,3
2023-12-11,10:53:34,4,1,-1,1
2023-12-11,10:53:34,5,4,-4,2
2023-12-11,10:53:34,-1,1,-3,1
2023-12-11,10:53:34,5,2,-3,2
2023-12-11,10:53:34,0,0,-2,2
2023-12-11,10:53:35,-2,0,-3,1
2023-12-11,10:53:35,-1,4,-1,1
2023-12-11,10:53:35,4,-2,-3,1
2023-12-11,10:53:35,1,-4,-2,1
2023-12-11,10:53:35,2,2,-3,1
2023-12-11,10:53:35,1,-2,-2,1
2023-12-11,10:53:35,6,0,-3,0
2023-12-11,10:53:35,0,-5,-3,-1
2023-12-11,10:53:35,1,-4,-3,0
2023-12-11,10:53:35,1,-2,-3,-1
2023-12-11,10:53:35,0,-5,-4,-1
2023-12-11,10:53:35,-5,1,-4,-2
2023-12-11,10:53:35,4,-4,-1,-2
2023-12-11,10:53:36,1,-4,-3,-1
2023-12-11,10:53:36,0,0,-3,-1
2023-12-11,10:53:36,-3,-4,-2,-1
