date,time,right_eye_x,right_eye_y,left_eye_x,left_eye_y
2023-11-20,13:15:16,4,-2,-3,-1
2023-11-20,13:15:16,3,-2,-2,-1
2023-11-20,13:15:16,2,-2,-3,-1
2023-11-20,13:15:16,1,-2,-1,-1
2023-11-20,13:15:16,1,-4,-1,-3
2023-11-20,13:15:16,0,-4,-1,-4
2023-11-20,13:15:16,0,-3,-1,-3
2023-11-20,13:15:16,-6,-2,-11,-1
2023-11-20,13:15:16,-10,-3,-12,4
2023-11-20,13:15:16,-10,-3,-13,0
2023-11-20,13:15:17,-12,-2,-14,0
2023-11-20,13:15:17,-7,0,-15,-2
2023-11-20,13:15:17,-8,-1,-15,-1
2023-11-20,13:15:17,-7,-2,-19,0
2023-11-20,13:15:17,-5,0,-18,0
2023-11-20,13:15:17,-7,0,-11,-1
2023-11-20,13:15:17,-4,2,-11,5
2023-11-20,13:15:17,-4,-2,-11,-2
2023-11-20,13:15:17,-5,-2,-11,-1
2023-11-20,13:15:17,-5,-3,-13,-3
2023-11-20,13:15:17,-9,-3,-14,-2
2023-11-20,13:15:17,-6,-1,-13,-2
2023-11-20,13:15:17,-7,-3,-14,-2
2023-11-20,13:15:18,-7,-3,-15,-2
2023-11-20,13:15:18,-6,-4,-9,-3
2023-11-20,13:15:18,-5,-3,-13,-2
2023-11-20,13:15:18,-6,-2,-11,-3
2023-11-20,13:15:18,-6,-3,-15,2
2023-11-20,13:15:18,-6,-5,-17,4
2023-11-20,13:15:18,-3,-5,-16,4
2023-11-20,13:15:18,-5,-5,-21,6
2023-11-20,13:15:18,-8,-4,-13,1
2023-11-20,13:15:18,-7,-3,-17,-2
2023-11-20,13:15:18,-4,-1,-16,-3
2023-11-20,13:15:19,3,-1,-3,-1
2023-11-20,13:15:19,0,-2,-3,-1
2023-11-20,13:15:19,5,-1,-1,-1
2023-11-20,13:15:19,5,-1,-2,0
2023-11-20,13:15:19,3,-1,-3,0
2023-11-20,13:15:19,3,-1,-1,0
2023-11-20,13:15:19,3,-1,-1,-1
2023-11-20,13:15:19,3,-2,-2,-1
2023-11-20,13:15:19,2,-1,-1,0
2023-11-20,13:15:19,3,-1,-2,0
2023-11-20,13:15:19,3,-1,-2,0
2023-11-20,13:15:20,2,-1,-2,0
2023-11-20,13:15:20,1,-2,-3,-1
2023-11-20,13:15:20,1,-2,-4,-1
2023-11-20,13:15:20,0,-2,-3,-1
2023-11-20,13:15:20,1,-2,-3,-2
2023-11-20,13:15:20,1,-2,-2,-2
2023-11-20,13:15:20,0,-2,-2,-1
2023-11-20,13:15:20,0,-2,-3,-2
2023-11-20,13:15:20,2,-2,-2,-2
2023-11-20,13:15:20,1,-2,-1,-2
2023-11-20,13:15:20,2,-2,-2,-2
2023-11-20,13:15:20,3,-1,-2,0
2023-11-20,13:15:20,3,-2,-3,0
2023-11-20,13:15:20,1,-2,-2,0
2023-11-20,13:15:21,4,-2,-1,0
2023-11-20,13:15:21,3,-2,-1,-1
2023-11-20,13:15:21,2,-2,0,0
2023-11-20,13:15:21,3,-1,-2,-1
2023-11-20,13:15:21,4,-1,-2,-1
2023-11-20,13:15:21,2,-2,-3,-1
2023-11-20,13:15:21,3,-2,-1,0
2023-11-20,13:15:21,2,-1,-2,0
2023-11-20,13:15:21,4,-1,-1,-1
2023-11-20,13:15:21,3,-2,-2,0
2023-11-20,13:15:21,3,-2,-2,-1
2023-11-20,13:15:21,4,-1,-2,0
2023-11-20,13:15:21,2,-1,-2,0
2023-11-20,13:15:22,3,-1,-2,-1
2023-11-20,13:15:22,2,-1,-3,0
2023-11-20,13:15:22,2,-2,-2,-1
2023-11-20,13:15:22,3,-1,-2,-1
2023-11-20,13:15:22,2,-1,-1,-1
2023-11-20,13:15:22,3,-1,-2,-1
2023-11-20,13:15:22,2,-1,-3,0
2023-11-20,13:15:22,2,-1,-2,0
2023-11-20,13:15:22,1,0,-3,0
2023-11-20,13:15:22,2,0,-2,0
2023-11-20,13:15:22,2,0,-3,0
2023-11-20,13:15:22,1,-1,-2,0
2023-11-20,13:15:22,2,-1,-2,-1
2023-11-20,13:15:23,2,-2,-3,-1
2023-11-20,13:15:23,4,-1,-1,-1
2023-11-20,13:15:23,3,-1,-1,0
2023-11-20,13:15:23,5,-1,-1,0
2023-11-20,13:15:23,3,-1,-2,-1
2023-11-20,13:15:23,4,-1,0,-1
2023-11-20,13:15:23,5,-1,0,0
2023-11-20,13:15:23,4,-1,-1,0
2023-11-20,13:15:23,3,-1,-3,0
2023-11-20,13:15:23,1,-1,-2,0
2023-11-20,13:15:23,2,-1,-2,0
2023-11-20,13:15:23,3,-1,-2,0
2023-11-20,13:15:23,2,-1,-2,0
2023-11-20,13:15:24,2,-1,-2,0
2023-11-20,13:15:24,3,-1,-2,-1
2023-11-20,13:15:24,2,-1,-3,0
2023-11-20,13:15:24,3,-1,-2,0
2023-11-20,13:15:24,3,-1,-1,0
2023-11-20,13:15:24,2,0,-2,-1
2023-11-20,13:15:24,2,-2,-2,-1
2023-11-20,13:15:24,3,-1,-2,0
2023-11-20,13:15:24,2,-1,-2,0
2023-11-20,13:15:24,2,-2,-2,-1
2023-11-20,13:15:24,4,0,-1,0
2023-11-20,13:15:24,1,-1,-3,0
2023-11-20,13:15:24,3,-1,1,0
2023-11-20,13:15:25,5,-1,0,0
2023-11-20,13:15:25,3,-2,-1,0
2023-11-20,13:15:25,2,0,-1,0
2023-11-20,13:15:25,3,-1,-2,0
