date,time,right_eye_x,right_eye_y,left_eye_x,left_eye_y
2023-05-08,19:50:9,-1,-2,-1,-2
2023-05-08,19:50:9,0,-2,-1,-2
2023-05-08,19:50:9,0,-2,-1,-2
2023-05-08,19:50:9,-1,-2,-1,-2
2023-05-08,19:50:9,-1,-2,0,-2
2023-05-08,19:50:9,-1,-1,-1,-2
2023-05-08,19:50:9,-1,-2,-1,-2
2023-05-08,19:50:9,-1,-1,-1,-2
2023-05-08,19:50:9,-2,-2,0,-2
2023-05-08,19:50:10,-1,-2,-1,-2
2023-05-08,19:50:10,-1,-1,0,-2
2023-05-08,19:50:10,-2,-2,-1,-2
2023-05-08,19:50:10,-1,-2,-1,-2
2023-05-08,19:50:10,-1,-2,0,-2
2023-05-08,19:50:10,-1,-2,-1,-2
2023-05-08,19:50:10,-1,-2,-1,-2
2023-05-08,19:50:10,0,-2,0,-2
2023-05-08,19:50:10,-1,-2,-1,-2
2023-05-08,19:50:10,0,-2,-1,-2
2023-05-08,19:50:10,-1,-2,0,-2
2023-05-08,19:50:10,0,-2,0,-2
2023-05-08,19:50:10,-1,-2,0,-2
2023-05-08,19:50:11,0,-1,0,-3
2023-05-08,19:50:11,-1,-2,-1,-2
2023-05-08,19:50:11,-1,-2,0,-2
2023-05-08,19:50:11,0,-2,0,-3
2023-05-08,19:50:11,1,-2,2,-3
2023-05-08,19:50:11,1,-2,0,-2
2023-05-08,19:50:11,0,-2,1,-3
2023-05-08,19:50:11,3,-2,4,-1
2023-05-08,19:50:12,4,-1,5,-2
2023-05-08,19:50:12,3,-1,6,-1
2023-05-08,19:50:12,3,-1,6,-1
2023-05-08,19:50:12,3,-1,6,-1
2023-05-08,19:50:12,2,-2,8,-1
2023-05-08,19:50:12,1,-2,8,-2
2023-05-08,19:50:12,-3,-4,0,-4
2023-05-08,19:50:12,-3,-4,0,-4
2023-05-08,19:50:12,-8,-3,-2,-2
2023-05-08,19:50:12,-7,-3,-2,-2
2023-05-08,19:50:12,-6,-3,-3,-2
2023-05-08,19:50:12,-4,-4,-1,-4
2023-05-08,19:50:12,3,-1,6,-1
2023-05-08,19:50:12,3,-1,6,-1
2023-05-08,19:50:13,3,-2,5,-2
2023-05-08,19:50:13,3,-2,6,-3
2023-05-08,19:50:13,4,-1,7,-3
2023-05-08,19:50:13,2,-2,8,-3
2023-05-08,19:50:13,3,-3,6,-4
2023-05-08,19:50:13,-1,-4,1,-4
2023-05-08,19:50:14,-8,-3,-2,-2
2023-05-08,19:50:14,-8,-3,-3,-2
2023-05-08,19:50:14,-7,-3,-2,-2
2023-05-08,19:50:14,-8,-3,-2,-1
2023-05-08,19:50:14,-5,-3,-2,-2
2023-05-08,19:50:14,-6,-2,-2,-1
2023-05-08,19:50:14,-7,-2,-1,-1
2023-05-08,19:50:14,-6,-3,-2,-2
2023-05-08,19:50:14,4,-2,3,-2
2023-05-08,19:50:14,3,-1,5,-2
2023-05-08,19:50:14,1,-1,5,-2
2023-05-08,19:50:14,1,-2,5,-1
2023-05-08,19:50:14,-1,-2,5,-2
2023-05-08,19:50:15,0,-1,5,-2
2023-05-08,19:50:15,0,-1,5,-2
2023-05-08,19:50:15,1,-2,5,-3
2023-05-08,19:50:15,-2,-3,1,-3
2023-05-08,19:50:15,-6,-2,-3,-2
2023-05-08,19:50:15,-6,-3,-2,-1
2023-05-08,19:50:15,-6,-3,-2,-1
2023-05-08,19:50:15,-6,-3,-1,-2
2023-05-08,19:50:15,-6,-3,-1,-3
2023-05-08,19:50:15,-2,-4,1,-4
2023-05-08,19:50:15,1,-4,3,-4
2023-05-08,19:50:15,2,-3,5,-4
2023-05-08,19:50:15,2,-2,7,-2
2023-05-08,19:50:15,3,-2,6,-2
2023-05-08,19:50:16,-1,-2,2,-2
2023-05-08,19:50:16,4,-1,4,-2
2023-05-08,19:50:16,6,-1,5,-3
2023-05-08,19:50:16,5,-1,6,-2
2023-05-08,19:50:16,3,-1,5,-2
2023-05-08,19:50:16,4,-1,5,-1
2023-05-08,19:50:16,3,-1,7,-2
2023-05-08,19:50:16,4,-1,5,-2
2023-05-08,19:50:17,-4,-4,-2,-4
2023-05-08,19:50:17,-6,-3,-2,-2
2023-05-08,19:50:17,-6,-3,-2,-2
2023-05-08,19:50:17,-6,-3,-3,-2
2023-05-08,19:50:17,-6,-4,-2,-3
2023-05-08,19:50:17,-7,-3,-3,-2
2023-05-08,19:50:17,-6,-3,-2,-2
2023-05-08,19:50:17,-6,-1,-4,-1
2023-05-08,19:50:18,1,-1,5,-1
2023-05-08,19:50:18,3,-2,6,-2
2023-05-08,19:50:18,2,-2,5,-2
2023-05-08,19:50:18,-2,-3,0,-2
2023-05-08,19:50:18,-6,-3,0,-3
2023-05-08,19:50:18,-7,-2,0,-3
2023-05-08,19:50:18,-6,-3,-1,-3
2023-05-08,19:50:18,-5,-4,0,-3
2023-05-08,19:50:18,-4,-4,0,-5
2023-05-08,19:50:18,-2,-5,1,-4
2023-05-08,19:50:19,2,-3,5,-4
2023-05-08,19:50:19,3,-2,4,-3
2023-05-08,19:50:19,3,-2,6,-3
2023-05-08,19:50:19,3,-2,5,-3
2023-05-08,19:50:19,2,-2,2,-3
2023-05-08,19:50:19,-4,-1,-2,-1
2023-05-08,19:50:19,1,-3,3,-4
2023-05-08,19:50:19,1,-3,3,-4
2023-05-08,19:50:19,2,-2,5,-2
2023-05-08,19:50:19,3,-2,6,-2
2023-05-08,19:50:20,-1,-4,2,-4
2023-05-08,19:50:20,-4,-4,0,-4
2023-05-08,19:50:20,-4,-3,-2,-4
2023-05-08,19:50:20,-5,-3,-1,-3
2023-05-08,19:50:20,-5,-3,0,-3
2023-05-08,19:50:20,-5,-3,-1,-3
2023-05-08,19:50:20,-5,-2,-1,-2
2023-05-08,19:50:20,-7,-3,-1,-3
2023-05-08,19:50:20,-6,-2,-3,-2
2023-05-08,19:50:20,-5,-2,-4,-1
2023-05-08,19:50:20,-3,-2,-2,-2
