date,time,right_eye_x,right_eye_y,left_eye_x,left_eye_y
2023-05-08,20:17:02,0,-1,-1,-1
2023-05-08,20:17:02,0,-1,-1,-2
2023-05-08,20:17:02,0,-2,-1,-2
2023-05-08,20:17:03,0,-1,-2,-2
2023-05-08,20:17:03,-1,-2,-1,-2
2023-05-08,20:17:03,0,-1,-2,-1
2023-05-08,20:17:03,-1,-1,-1,-2
2023-05-08,20:17:03,0,-1,-2,-1
2023-05-08,20:17:03,-1,-1,-2,-1
2023-05-08,20:17:03,-1,-2,-1,-2
2023-05-08,20:17:03,0,-2,-2,-1
2023-05-08,20:17:03,1,-2,-2,-2
2023-05-08,20:17:03,0,-2,-1,-2
2023-05-08,20:17:03,0,-2,-2,-2
2023-05-08,20:17:03,0,-2,-3,-2
2023-05-08,20:17:04,0,-2,-3,-2
2023-05-08,20:17:04,-1,-2,-3,-2
2023-05-08,20:17:04,-1,-1,-2,-2
2023-05-08,20:17:04,-2,-2,-2,-2
2023-05-08,20:17:04,-1,-2,-1,-2
2023-05-08,20:17:04,-2,-2,-1,-2
2023-05-08,20:17:04,-1,-2,-2,-2
2023-05-08,20:17:04,0,-1,-1,-2
2023-05-08,20:17:04,1,-1,0,-1
2023-05-08,20:17:04,0,-1,-1,-2
2023-05-08,20:17:04,2,-1,2,-1
2023-05-08,20:17:04,2,-1,2,-1
2023-05-08,20:17:04,3,-1,2,-2
2023-05-08,20:17:04,3,-1,2,-2
2023-05-08,20:17:05,3,-1,3,-1
2023-05-08,20:17:05,1,-1,1,-1
2023-05-08,20:17:05,-1,-1,-1,-1
2023-05-08,20:17:05,-1,-1,-1,-2
2023-05-08,20:17:06,-1,-1,-2,0
2023-05-08,20:17:06,-1,-2,-2,-2
2023-05-08,20:17:06,0,-2,-2,-1
2023-05-08,20:17:06,0,-2,-2,-2
2023-05-08,20:17:06,0,-2,-2,-2
2023-05-08,20:17:06,0,-1,-2,-2
2023-05-08,20:17:06,0,-1,-2,-1
2023-05-08,20:17:06,1,-2,-2,-2
2023-05-08,20:17:06,0,-2,-2,-2
2023-05-08,20:17:06,-1,-2,-2,-2
2023-05-08,20:17:07,-1,-1,-1,-2
2023-05-08,20:17:07,0,-2,-2,-2
2023-05-08,20:17:07,-2,-1,-1,-1
2023-05-08,20:17:07,-2,-2,0,-2
2023-05-08,20:17:07,-2,-2,-1,-2
2023-05-08,20:17:07,-1,-2,0,-2
2023-05-08,20:17:07,-1,-2,0,-2
2023-05-08,20:17:07,-1,-2,0,-2
2023-05-08,20:17:07,-1,-2,0,-2
2023-05-08,20:17:07,-1,-2,0,-2
2023-05-08,20:17:07,-1,-1,0,-2
2023-05-08,20:17:07,0,-2,1,-2
2023-05-08,20:17:08,0,-2,0,-2
2023-05-08,20:17:08,0,-2,0,-2
2023-05-08,20:17:08,-2,-1,-2,-1
2023-05-08,20:17:08,-2,-2,-1,-2
2023-05-08,20:17:08,-2,-2,-1,-2
2023-05-08,20:17:08,-2,-2,0,-2
2023-05-08,20:17:08,-2,-2,0,-2
2023-05-08,20:17:08,-1,-2,-1,-2
2023-05-08,20:17:08,-3,-2,0,-2
2023-05-08,20:17:08,-4,-2,-2,-2
2023-05-08,20:17:08,-4,-2,-2,-2
2023-05-08,20:17:08,0,-3,-2,-3
2023-05-08,20:17:08,-1,-3,-3,-2
2023-05-08,20:17:09,-4,-2,-2,-2
2023-05-08,20:17:09,-2,-2,-1,-1
2023-05-08,20:17:09,-2,-2,-1,-1
2023-05-08,20:17:11,-2,-2,-1,-2
2023-05-08,20:17:11,-3,-2,-2,-2
2023-05-08,20:17:11,-3,-2,-2,-2
2023-05-08,20:17:11,-2,-1,-1,-2
2023-05-08,20:17:12,-4,-1,-1,-2
2023-05-08,20:17:12,-6,-1,-2,-2
2023-05-08,20:17:12,-5,-1,-3,-1
2023-05-08,20:17:12,-5,-1,-3,-1
2023-05-08,20:17:12,-4,-1,-3,-1
2023-05-08,20:17:12,-5,-1,-1,-2
2023-05-08,20:17:12,-5,-1,-1,-2
2023-05-08,20:17:12,-5,-2,-2,-2
2023-05-08,20:17:12,-4,-1,-2,-2
2023-05-08,20:17:12,-1,-1,-1,-1
2023-05-08,20:17:12,-1,-1,0,-2
2023-05-08,20:17:13,-1,-1,0,-1
2023-05-08,20:17:13,-1,-1,0,-1
2023-05-08,20:17:13,-1,-1,-1,-2
2023-05-08,20:17:13,-1,-1,-1,-2
2023-05-08,20:17:13,-1,-1,0,-1
2023-05-08,20:17:13,-1,-2,0,-2
2023-05-08,20:17:13,-2,-2,0,-1
2023-05-08,20:17:13,-2,-1,0,-1
2023-05-08,20:17:14,-2,-2,0,-2
2023-05-08,20:17:14,-1,-1,-1,-2
2023-05-08,20:17:14,-2,-1,-1,-2
2023-05-08,20:17:14,-1,-1,0,-1
2023-05-08,20:17:14,0,-1,-1,-2
2023-05-08,20:17:14,0,-2,0,-2
2023-05-08,20:17:14,-1,-2,-1,-2
2023-05-08,20:17:14,0,-2,0,-1
2023-05-08,20:17:14,0,-2,0,-2
2023-05-08,20:17:14,0,-2,0,-2
2023-05-08,20:17:14,-1,-1,0,-2
2023-05-08,20:17:14,-2,-1,0,-1
2023-05-08,20:17:15,-1,-1,-1,-1
2023-05-08,20:17:15,-1,-2,-1,-1
2023-05-08,20:17:15,-2,-2,-1,-1
2023-05-08,20:17:15,-1,-1,-1,-2
2023-05-08,20:17:15,-1,-2,-1,-1
2023-05-08,20:17:15,-2,-2,-1,-2
2023-05-08,20:17:15,-1,-1,-1,-2
2023-05-08,20:17:15,-1,-2,-1,-1
2023-05-08,20:17:15,-5,-1,-4,-2
2023-05-08,20:17:15,-6,-1,-3,-2
2023-05-08,20:17:15,-2,-1,-1,-1
2023-05-08,20:17:15,-1,-1,0,-1
2023-05-08,20:17:15,-1,-2,0,-2
2023-05-08,20:17:16,-2,-2,-1,-2
2023-05-08,20:17:16,-1,-1,-1,-1
2023-05-08,20:17:16,-1,-2,-1,-1
2023-05-08,20:17:16,-1,-1,-1,-1
2023-05-08,20:17:16,-1,-2,0,-2
2023-05-08,20:17:16,0,-2,0,-1
2023-05-08,20:17:16,-1,-2,-1,-2
2023-05-08,20:17:16,-1,-1,0,-2
2023-05-08,20:17:16,-1,-1,-1,-2
2023-05-08,20:17:16,-1,-2,0,-1
2023-05-08,20:17:16,-2,-2,0,-2
2023-05-08,20:17:16,-1,-2,0,-1
2023-05-08,20:17:16,-1,-2,-1,-1
2023-05-08,20:17:17,-1,-1,0,-1
2023-05-08,20:17:17,-1,-1,0,-1
2023-05-08,20:17:17,-2,-2,0,-2
2023-05-08,20:17:17,-1,-2,-1,-2
2023-05-08,20:17:17,0,-1,-1,-1
2023-05-08,20:17:17,-2,-2,0,-2
2023-05-08,20:17:17,-1,-1,-1,-1
2023-05-08,20:17:17,-1,-1,-1,-1
2023-05-08,20:17:17,-1,-1,-1,-1
2023-05-08,20:17:17,-1,-2,-1,-1
2023-05-08,20:17:17,-1,-2,-1,-1
2023-05-08,20:17:17,-1,-1,-1,-1
2023-05-08,20:17:17,-2,-1,-1,-2
2023-05-08,20:17:18,-2,-1,-1,-2
2023-05-08,20:17:18,-2,-2,-2,-2
2023-05-08,20:17:18,-2,-2,-2,-2
2023-05-08,20:17:18,-3,-1,-1,-2
